"	https://analytics.amplitude.com/sim1/chart/5hgp0ui/edit/ndoqm7k"
"	Retention"

"	Launch first time"
"	Session start"
"	N-Day Retention"

"	Segment","	Start Date","	Users","	Day 0","	Day 1","	Day 2","	Day 3","	Day 4","	Day 5","	Day 6","	Day 7","	Day 8","	Day 9","	Day 10","	Day 11","	Day 12","	Day 13","	Day 14","	Day 15","	Day 16","	Day 17","	Day 18","	Day 19","	Day 20","	Day 21","	Day 22","	Day 23","	Day 24","	Day 25","	Day 26","	Day 27","	Day 28","	Day 29","	Day 30"
"	All Users","	Feb 12, 2016","181","181","25","8","3","7","2","6","4","5","1","6","4","3","2","1","3","3","3","1","0","1","1","2","1","1","4","3","0","2","0","0"
"	All Users","	Feb 11, 2016","157","157","28","10","6","2","4","6","3","2","2","0","7","7","2","2","1","4","4","1","3","1","1","2","1","2","2","1","1","2","3","2"
"	All Users","	Feb 10, 2016","146","146","25","8","4","4","5","4","4","3","2","4","4","4","1","3","1","4","1","1","0","0","0","1","1","2","1","1","1","0","1","2"
"	All Users","	Feb 09, 2016","135","135","28","10","7","5","4","4","3","5","4","3","3","2","2","3","2","0","3","5","1","2","1","1","1","2","1","1","1","1","2","4"
"	All Users","	Feb 08, 2016","119","119","19","9","3","2","5","2","1","2","2","1","4","2","1","1","2","3","1","1","0","1","2","2","1","1","1","2","0","0","0","0"
"	All Users","	Feb 07, 2016","110","110","19","9","8","4","2","2","1","2","2","1","0","0","2","1","1","1","3","0","1","1","1","0","0","0","0","0","0","1","0","0"
"	All Users","	Feb 06, 2016","92","92","13","12","4","4","3","3","4","3","3","0","6","3","3","0","2","3","0","2","0","0","1","0","1","0","1","1","2","2","1","1"
"	All Users","	Feb 05, 2016","86","86","10","6","3","1","4","0","3","2","1","5","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","1","0"
"	All Users","	Feb 04, 2016","110","110","13","2","1","3","2","3","1","1","2","4","1","1","1","2","3","2","2","1","1","0","0","0","0","0","1","0","0","1","0","0"
"	All Users","	Feb 03, 2016","86","86","9","4","2","0","1","1","1","0","1","3","3","0","1","0","1","1","1","1","1","0","0","1","0","1","0","1","1","0","1","1"
"	All Users","	Feb 02, 2016","62","62","11","3","2","1","0","0","2","0","1","0","0","1","0","1","0","1","0","0","1","0","0","1","0","1","1","0","1","1","0","0"
"	All Users","	Feb 01, 2016","30","30","4","1","3","0","0","0","0","2","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
